Id,MSSubClass,Neighborhood,OverallQual,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,TotalBsmtSF,HeatingQC,1stFlrSF,GrLivArea,KitchenQual,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,SaleType,SaleCondition,SalePrice
355,20,Gilbert,6,1992,1992,HdBoard,HdBoard,BrkFace,TA,PConc,Gd,No,GLQ,1158,Gd,1167,1167,Gd,NoFireplace,Attchd,1992.0,RFn,2,400,WD,Normal,173000
356,120,MeadowV,5,1976,1976,CemntBd,CmentBd,None,TA,PConc,Gd,No,ALQ,1142,TA,1142,1142,TA,Po,Attchd,1976.0,Fin,2,528,WD,Normal,134000
357,80,ClearCr,5,1958,1958,Wd Sdng,ImStucc,BrkFace,TA,CBlock,TA,Av,BLQ,1062,Ex,1352,1352,Gd,NoFireplace,BuiltIn,1958.0,Unf,1,288,WD,Abnorml,130000
358,60,NoRidge,8,1998,1998,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,Av,GLQ,1086,Ex,1086,1924,Gd,TA,Attchd,1998.0,RFn,2,592,WD,Normal,280000
359,85,Mitchel,6,1978,1978,VinylSd,VinylSd,None,TA,CBlock,Gd,Av,GLQ,888,Ex,912,912,TA,TA,Attchd,1978.0,RFn,2,470,WD,Normal,156000
360,50,BrkSide,5,1940,1982,MetalSd,MetalSd,None,TA,CBlock,TA,No,Rec,883,Gd,988,1505,TA,NoFireplace,Detchd,1940.0,Unf,1,240,WD,Normal,145000
361,85,Edwards,7,2003,2003,HdBoard,HdBoard,BrkFace,Gd,Slab,NoBsmt,NoBsmt,NoBsmt,0,Ex,495,1922,Gd,Ex,BuiltIn,2003.0,RFn,2,672,ConLD,Normal,198500
362,160,BrDale,6,1972,2007,HdBoard,HdBoard,BrkFace,TA,CBlock,TA,No,ALQ,483,Gd,483,987,Gd,NoFireplace,Detchd,1972.0,Unf,1,264,WD,Normal,118000
363,60,NWAmes,6,1976,1976,HdBoard,HdBoard,BrkFace,TA,PConc,Gd,Mn,GLQ,796,TA,790,1574,TA,TA,Attchd,1976.0,Fin,2,566,WD,Normal,190000
364,70,IDOTRR,5,1920,1997,VinylSd,VinylSd,None,TA,CBlock,TA,No,Rec,672,Gd,672,1344,TA,NoFireplace,Detchd,1964.0,Unf,1,468,WD,Normal,147000
365,20,NAmes,6,1963,1963,Plywood,Plywood,BrkFace,TA,CBlock,Gd,No,BLQ,1394,Gd,1394,1394,TA,Gd,Attchd,1963.0,RFn,2,514,WD,Normal,159000
366,80,NAmes,6,1962,1962,Plywood,Plywood,BrkFace,TA,CBlock,Gd,Gd,GLQ,1099,Gd,1431,1431,TA,Gd,Basment,1962.0,RFn,1,296,WD,Normal,165000
367,20,NAmes,5,1954,1954,HdBoard,HdBoard,BrkFace,TA,PConc,TA,No,LwQ,1268,Gd,1268,1268,TA,Gd,Attchd,1954.0,Fin,1,244,WD,Normal,132000
368,20,NAmes,5,1959,2006,Wd Sdng,Wd Sdng,None,TA,CBlock,TA,No,ALQ,1063,Ex,1287,1287,Gd,Gd,Detchd,1997.0,Fin,2,576,WD,Normal,162000
369,60,Gilbert,6,2000,2000,VinylSd,VinylSd,None,TA,PConc,Gd,No,Unf,953,Ex,953,1664,TA,TA,Attchd,2000.0,RFn,2,460,WD,Normal,172400
370,50,ClearCr,4,1959,1959,WdShing,Plywood,None,TA,CBlock,NoBsmt,NoBsmt,NoBsmt,0,TA,1120,1588,TA,Gd,Detchd,1991.0,Fin,2,680,WD,Normal,134432
371,120,SawyerW,6,1984,1984,Plywood,Plywood,None,TA,CBlock,Gd,No,ALQ,744,TA,752,752,TA,NoFireplace,Attchd,1984.0,Unf,1,264,WD,Normal,125000
372,20,NAmes,5,1953,1953,MetalSd,MetalSd,None,TA,PConc,TA,No,BLQ,608,TA,1319,1319,TA,NoFireplace,Attchd,1953.0,Unf,1,270,WD,Normal,123000
373,60,CollgCr,7,2003,2004,VinylSd,VinylSd,None,Gd,PConc,Gd,No,Unf,847,Ex,847,1928,Gd,Gd,BuiltIn,2003.0,Fin,2,434,WD,Normal,219500
374,30,Edwards,1,1922,1950,Wd Sdng,Wd Sdng,None,Fa,BrkTil,Fa,Gd,BLQ,683,Gd,904,904,Fa,NoFireplace,NoGarage,,NoGarage,0,0,WD,Normal,61000
375,85,CollgCr,5,1996,1996,VinylSd,VinylSd,None,Gd,PConc,Gd,Av,GLQ,870,Ex,914,914,TA,NoFireplace,Detchd,1998.0,Unf,2,576,WD,Normal,148000
376,60,Somerst,8,2004,2005,CemntBd,CmentBd,None,Gd,PConc,Gd,No,Unf,1580,Ex,1580,2466,Gd,Gd,Attchd,2004.0,RFn,2,610,WD,Normal,340000
377,20,StoneBr,9,2010,2010,VinylSd,VinylSd,Stone,Gd,PConc,Ex,Av,GLQ,1856,Ex,1856,1856,Ex,Ex,Attchd,2010.0,Fin,3,834,New,Partial,394432
378,60,Gilbert,6,2000,2000,VinylSd,VinylSd,BrkFace,TA,PConc,Gd,No,Unf,982,Ex,1007,1800,TA,TA,Attchd,2000.0,Fin,2,463,WD,Normal,179000
379,50,SWISU,5,1924,1950,BrkFace,Wd Sdng,None,TA,BrkTil,TA,No,LwQ,1026,TA,1026,1691,Gd,Gd,Detchd,1924.0,Unf,1,308,WD,Normal,127000
380,20,Somerst,7,2006,2006,VinylSd,VinylSd,None,Gd,PConc,Gd,No,Unf,1293,Ex,1301,1301,Gd,Gd,Attchd,2006.0,RFn,2,572,New,Partial,187750
381,60,CollgCr,7,2006,2006,VinylSd,VinylSd,None,Gd,PConc,Gd,Av,Unf,939,Ex,939,1797,Gd,NoFireplace,Attchd,2006.0,RFn,2,639,WD,Normal,213500
382,45,SawyerW,6,1928,1950,Wd Sdng,Wd Sdng,None,TA,BrkTil,Fa,No,Unf,784,TA,784,784,TA,NoFireplace,Detchd,1950.0,Unf,2,360,WD,Normal,76000
383,60,ClearCr,6,1992,1992,HdBoard,HdBoard,None,Gd,PConc,Gd,Av,GLQ,1580,Ex,1079,1953,Gd,Fa,Attchd,1992.0,Fin,2,501,WD,Normal,240000
384,120,Blmngtn,8,2004,2005,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,No,GLQ,1256,Ex,1269,1269,Gd,TA,Attchd,2004.0,Fin,2,430,WD,Normal,192000
385,50,Edwards,5,1910,1996,Wd Sdng,VinylSd,None,TA,PConc,TA,No,Unf,658,TA,658,1184,TA,NoFireplace,NoGarage,,NoGarage,0,0,WD,AdjLand,81000
386,80,Edwards,6,1976,1976,MetalSd,MetalSd,BrkFace,TA,CBlock,TA,Av,ALQ,1041,Ex,1125,1125,TA,Fa,Detchd,1977.0,Unf,1,352,WD,Abnorml,125000
387,20,CollgCr,7,1999,2000,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,No,Unf,1468,Ex,1479,1479,Gd,NoFireplace,Attchd,1999.0,RFn,2,577,WD,Normal,191000
388,60,NridgHt,10,2007,2008,VinylSd,VinylSd,Stone,Ex,PConc,Ex,Av,GLQ,1682,Ex,1742,2332,Ex,Ex,BuiltIn,2008.0,Fin,3,846,New,Partial,426000
389,50,Edwards,5,1900,1950,MetalSd,MetalSd,None,TA,BrkTil,TA,No,Rec,861,Ex,961,1367,TA,NoFireplace,Detchd,1978.0,Unf,1,384,WD,Normal,119000
390,60,Mitchel,6,2001,2002,VinylSd,VinylSd,None,TA,PConc,Ex,No,ALQ,804,Ex,804,1961,Gd,TA,BuiltIn,2001.0,Fin,2,560,WD,Normal,215000
391,20,NAmes,5,1959,1959,MetalSd,MetalSd,None,TA,Slab,NoBsmt,NoBsmt,NoBsmt,0,TA,882,882,TA,NoFireplace,Attchd,1959.0,RFn,1,294,WD,Normal,106500
392,30,BrkSide,4,1941,1950,WdShing,Wd Shng,None,TA,CBlock,TA,No,Rec,788,TA,788,788,TA,TA,NoGarage,,NoGarage,0,0,WD,Abnorml,100000
393,50,OldTown,5,1940,1950,MetalSd,MetalSd,None,TA,CBlock,TA,No,Unf,735,Gd,735,1034,TA,NoFireplace,Detchd,1940.0,Unf,1,240,WD,Normal,109000
394,20,Edwards,5,1956,1956,Wd Sdng,Wd Sdng,None,TA,CBlock,TA,Av,BLQ,1144,TA,1144,1144,TA,NoFireplace,Attchd,1956.0,Unf,1,596,WD,Normal,129000
395,20,CollgCr,5,1972,1972,MetalSd,MetalSd,None,TA,CBlock,TA,Av,Rec,894,TA,894,894,TA,NoFireplace,Detchd,1985.0,RFn,2,600,WD,Normal,123000
396,60,NAmes,5,1962,1962,VinylSd,VinylSd,BrkFace,TA,CBlock,TA,No,ALQ,864,TA,876,1812,TA,TA,Attchd,1962.0,RFn,1,264,WD,Normal,169500
397,30,IDOTRR,5,1920,1950,MetalSd,MetalSd,None,TA,BrkTil,Fa,No,Unf,961,Gd,1077,1077,TA,NoFireplace,Detchd,1920.0,Unf,1,338,WD,Abnorml,67000
398,60,Somerst,7,2006,2007,CemntBd,CmentBd,Stone,Gd,PConc,Gd,No,GLQ,1092,Ex,1112,1550,Gd,NoFireplace,Attchd,2007.0,Fin,2,438,WD,Normal,241000
399,120,Veenker,8,1996,1996,BrkFace,BrkFace,None,Gd,PConc,Gd,No,GLQ,1260,Ex,1288,1288,Ex,Gd,Attchd,1996.0,Fin,2,500,WD,Normal,245500
400,20,CollgCr,7,2005,2005,VinylSd,VinylSd,None,Gd,PConc,Gd,Av,GLQ,1310,Ex,1310,1310,Gd,Gd,Attchd,2005.0,Fin,2,400,New,Partial,164990
401,30,Sawyer,5,1940,1997,Wd Sdng,Wd Sdng,None,TA,PConc,TA,No,Unf,672,Ex,672,672,TA,NoFireplace,Detchd,1940.0,Unf,1,240,WD,Normal,108000
402,60,NoRidge,8,1998,1998,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,No,Unf,1141,Gd,1165,2263,Gd,TA,BuiltIn,1998.0,Fin,2,420,WD,Abnorml,258000
403,60,Gilbert,6,1995,1996,MetalSd,MetalSd,None,TA,PConc,Gd,No,Unf,806,Gd,806,1572,TA,TA,BuiltIn,1995.0,Fin,2,373,WD,Normal,168000
404,20,Sawyer,4,1976,1993,Plywood,Plywood,None,TA,CBlock,TA,No,BLQ,1281,Ex,1620,1620,TA,TA,Attchd,1993.0,Unf,2,490,WD,Normal,150000
405,50,SWISU,6,1936,1950,MetalSd,MetalSd,None,TA,BrkTil,TA,No,Unf,1064,Ex,1166,1639,TA,NoFireplace,Detchd,1936.0,Unf,1,240,WD,Normal,115000
406,70,Crawfor,6,1915,1976,Wd Sdng,Plywood,None,TA,BrkTil,Gd,No,Unf,840,Ex,840,1680,TA,NoFireplace,Attchd,1960.0,Unf,1,308,WD,Normal,177000
407,60,NridgHt,7,2006,2006,VinylSd,VinylSd,BrkFace,Gd,PConc,Ex,No,Unf,1063,Ex,1071,2172,Gd,Gd,Attchd,2006.0,RFn,3,947,New,Partial,280000
408,60,Somerst,8,2007,2008,VinylSd,VinylSd,Stone,Gd,PConc,Ex,No,GLQ,1034,Ex,1050,2078,Ex,Gd,Attchd,2008.0,Fin,3,836,New,Partial,339750
409,20,Edwards,5,1958,1958,BrkComm,Brk Cmn,None,TA,CBlock,TA,No,Unf,1276,TA,1276,1276,TA,NoFireplace,Attchd,1958.0,Unf,1,350,COD,Abnorml,60000
410,190,Gilbert,5,1955,1955,Wd Sdng,Wd Sdng,None,TA,CBlock,TA,Mn,Rec,1056,TA,1056,1056,TA,NoFireplace,Attchd,1955.0,Fin,2,572,WD,Normal,145000
411,20,Somerst,7,2009,2009,MetalSd,MetalSd,Stone,Ex,PConc,Ex,Av,GLQ,1470,Ex,1478,1478,Gd,Gd,Attchd,2009.0,Fin,2,484,New,Partial,222000
412,30,OldTown,5,1927,1950,WdShing,Wd Shng,None,TA,CBlock,TA,No,Unf,1008,Gd,1028,1028,TA,Gd,Detchd,1927.0,Unf,2,360,WD,Normal,115000
413,60,SawyerW,7,1993,1993,VinylSd,VinylSd,None,Gd,PConc,Gd,No,BLQ,1080,Ex,1080,2097,Gd,TA,Attchd,1993.0,Unf,3,678,WD,Normal,228000
414,20,Gilbert,7,2007,2007,VinylSd,VinylSd,None,Gd,PConc,Gd,Av,GLQ,1340,Ex,1340,1340,Gd,NoFireplace,Attchd,2007.0,Fin,2,396,New,Partial,181134
415,60,Sawyer,6,1978,1978,HdBoard,HdBoard,BrkFace,TA,CBlock,TA,No,ALQ,672,TA,672,1400,TA,TA,Attchd,1978.0,Fin,2,440,WD,Normal,149500
416,70,Crawfor,6,1918,1950,Wd Sdng,Stucco,None,TA,BrkTil,Gd,No,BLQ,1370,TA,1370,2624,TA,Gd,Detchd,1918.0,Unf,3,864,WD,Normal,239000
417,50,Edwards,5,1940,1950,MetalSd,MetalSd,None,TA,BrkTil,TA,No,ALQ,756,Fa,756,1134,TA,NoFireplace,Detchd,1940.0,Unf,1,240,WD,AdjLand,126000
418,20,NAmes,5,1968,1968,VinylSd,VinylSd,None,TA,CBlock,TA,No,BLQ,1056,Ex,1056,1056,TA,Fa,Attchd,1968.0,Unf,1,304,WD,Normal,142000
419,90,Mitchel,7,1997,1998,VinylSd,VinylSd,BrkFace,TA,PConc,Gd,Gd,GLQ,1344,Ex,1344,1344,TA,NoFireplace,Attchd,1997.0,Fin,4,784,WD,Alloca,206300
420,20,NWAmes,6,1977,2000,CemntBd,CmentBd,Stone,Gd,CBlock,Gd,No,ALQ,1602,Gd,1602,1602,Gd,TA,Attchd,1977.0,Fin,2,529,WD,Normal,215000
421,20,Mitchel,5,1954,1954,HdBoard,HdBoard,None,TA,CBlock,TA,No,Unf,988,Ex,988,988,TA,NoFireplace,Attchd,1954.0,RFn,2,520,WD,Normal,113000
422,60,NoRidge,8,1998,1998,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,No,GLQ,1470,Gd,1470,2630,Gd,TA,Attchd,1998.0,Fin,3,696,WD,Normal,315000
423,20,NAmes,6,1956,1956,Wd Sdng,Wd Sdng,BrkFace,TA,CBlock,Gd,No,LwQ,1196,Gd,1196,1196,TA,Gd,Attchd,1956.0,RFn,1,297,WD,Normal,139000
424,60,OldTown,7,1946,1992,HdBoard,HdBoard,None,TA,CBlock,TA,No,Unf,651,Gd,707,1389,TA,Gd,Detchd,1947.0,Unf,1,240,WD,Normal,135000
425,80,SawyerW,7,1989,1989,Wd Sdng,Wd Sdng,BrkFace,Gd,PConc,Gd,Gd,GLQ,1518,Gd,1644,1644,Gd,TA,Attchd,1989.0,Fin,2,569,WD,Normal,275000
426,20,NAmes,4,1957,1957,MetalSd,MetalSd,None,TA,CBlock,TA,No,Rec,907,Ex,907,907,TA,NoFireplace,Detchd,1964.0,Unf,1,352,WD,Normal,109008
427,20,CollgCr,7,2007,2007,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,No,GLQ,1208,Ex,1208,1208,Gd,NoFireplace,Attchd,2007.0,RFn,2,628,New,Partial,195400
428,20,Timber,6,1988,1988,HdBoard,HdBoard,None,TA,CBlock,Gd,Mn,GLQ,1392,TA,1412,1412,Gd,TA,Attchd,1988.0,Unf,2,576,WD,Normal,175000
429,160,BrDale,6,1971,1971,HdBoard,HdBoard,BrkFace,TA,CBlock,TA,No,ALQ,483,TA,483,987,TA,NoFireplace,Detchd,1971.0,Unf,1,264,COD,Abnorml,85400
430,50,OldTown,6,1920,1998,MetalSd,MetalSd,None,TA,BrkTil,TA,No,Unf,901,Gd,1088,1198,TA,NoFireplace,NoGarage,,NoGarage,0,0,ConLD,Abnorml,79900
431,160,BrDale,5,1971,1971,HdBoard,HdBoard,BrkFace,TA,CBlock,TA,No,ALQ,765,Ex,765,1365,TA,NoFireplace,Detchd,1971.0,Unf,2,440,WD,Normal,122500
432,60,Gilbert,6,1997,1998,VinylSd,VinylSd,None,TA,PConc,Gd,No,Unf,926,Ex,926,1604,TA,TA,Attchd,1997.0,Fin,2,470,WD,Normal,181000
433,180,MeadowV,4,1972,1972,CemntBd,CmentBd,None,TA,CBlock,Gd,Av,ALQ,630,Gd,630,630,TA,NoFireplace,NoGarage,,NoGarage,0,0,WD,Normal,81000
434,60,CollgCr,7,1996,1996,VinylSd,VinylSd,None,Gd,PConc,Gd,Av,GLQ,799,Ex,827,1661,Gd,TA,Attchd,1996.0,RFn,2,550,ConLw,Normal,212000
435,50,OldTown,6,1920,1950,Stucco,Stucco,None,TA,BrkTil,Fa,No,Unf,648,TA,734,1118,TA,NoFireplace,Detchd,1990.0,Unf,2,440,WD,Normal,116000
436,45,BrkSide,6,1926,2004,Wd Sdng,Wd Sdng,None,Gd,PConc,TA,No,Unf,884,Gd,904,904,TA,NoFireplace,Detchd,1926.0,Unf,1,180,WD,Normal,119000
437,30,Crawfor,5,1913,2002,WdShing,Stucco,None,TA,PConc,TA,No,LwQ,440,TA,694,694,Gd,Gd,Detchd,1990.0,Unf,1,352,WD,Normal,90350
438,50,Edwards,6,1920,2000,Wd Sdng,Wd Sdng,None,TA,BrkTil,TA,Mn,Unf,684,Gd,684,1196,Gd,NoFireplace,Detchd,2005.0,Unf,2,528,ConLI,Normal,110000
439,90,Edwards,4,1955,1955,VinylSd,VinylSd,BrkFace,TA,CBlock,TA,No,ALQ,1440,TA,1440,1440,Fa,NoFireplace,NoGarage,,NoGarage,0,0,WD,Normal,118000
440,50,BrkSide,5,1930,1992,MetalSd,MetalSd,None,TA,PConc,TA,No,Unf,1078,TA,1128,1573,TA,Gd,Detchd,1930.0,Unf,2,360,WD,Normal,162900
441,120,Blmngtn,7,2006,2007,WdShing,Wd Shng,BrkFace,Gd,PConc,Ex,Av,Unf,1258,Ex,1258,1258,Gd,Gd,Attchd,2007.0,Fin,3,648,New,Partial,172500
442,60,CollgCr,7,1994,1995,VinylSd,VinylSd,None,Gd,PConc,Gd,No,GLQ,915,Ex,933,1908,Gd,TA,Attchd,1994.0,Unf,2,493,WD,Normal,210000
443,20,Edwards,6,1956,1956,Wd Sdng,Wd Sdng,None,TA,CBlock,TA,No,Unf,1436,Fa,1689,1689,TA,Gd,Attchd,1956.0,Unf,2,480,COD,Normal,127500
444,20,NAmes,6,1966,2002,BrkFace,Plywood,None,Gd,CBlock,TA,No,ALQ,1517,Ex,1888,1888,Gd,Gd,Attchd,1966.0,Fin,2,578,WD,Normal,190000
445,60,Gilbert,7,1998,1999,VinylSd,VinylSd,None,Gd,PConc,Gd,No,Unf,930,Gd,956,1886,Gd,TA,Attchd,1998.0,Fin,2,431,WD,Normal,199900
446,50,IDOTRR,6,1937,1950,MetalSd,MetalSd,None,TA,BrkTil,TA,No,Unf,780,TA,780,1376,TA,Gd,Detchd,1937.0,Unf,1,198,WD,Normal,119500
447,50,OldTown,3,1948,2002,MetalSd,MetalSd,None,TA,CBlock,TA,No,ALQ,649,Ex,679,1183,TA,NoFireplace,Detchd,1981.0,Unf,1,308,WD,Normal,120000
448,30,OldTown,6,1930,2005,Wd Sdng,Wd Sdng,None,TA,BrkTil,TA,No,Unf,813,Ex,813,813,Gd,NoFireplace,Detchd,1932.0,Unf,1,270,WD,Normal,110000
449,20,ClearCr,7,1975,1975,Plywood,Plywood,None,TA,CBlock,Gd,Gd,ALQ,1533,TA,1533,1533,Gd,TA,Attchd,1975.0,Unf,2,576,WD,Normal,280000
450,60,Timber,6,1996,1997,VinylSd,VinylSd,BrkFace,Gd,PConc,Ex,No,ALQ,872,Ex,888,1756,TA,NoFireplace,Attchd,1996.0,Fin,2,422,WD,Normal,204000
451,60,Somerst,8,2008,2008,VinylSd,VinylSd,None,Gd,PConc,Gd,No,Unf,768,Ex,786,1590,Gd,NoFireplace,Attchd,2008.0,RFn,2,676,WD,Normal,210000
452,90,Mitchel,5,1976,1976,Plywood,Plywood,None,TA,CBlock,TA,No,ALQ,1728,TA,1728,1728,TA,NoFireplace,Detchd,1976.0,Unf,2,560,WD,Family,188000
453,20,NWAmes,7,1973,1973,HdBoard,HdBoard,BrkFace,TA,CBlock,TA,No,ALQ,1242,Fa,1242,1242,TA,TA,Attchd,1973.0,Unf,2,528,WD,Normal,175500
454,70,OldTown,5,1916,1950,AsbShng,AsbShng,None,TA,BrkTil,TA,No,Unf,624,Fa,624,1344,TA,NoFireplace,Detchd,1916.0,Unf,3,513,COD,Abnorml,98000
455,70,OldTown,8,1925,1996,Stucco,Wd Shng,None,TA,PConc,TA,No,Unf,588,Fa,833,1666,Gd,Gd,Detchd,1925.0,Unf,1,228,WD,Normal,161000
456,50,BrkSide,5,1950,1950,MetalSd,MetalSd,BrkCmn,TA,CBlock,TA,No,LwQ,709,TA,979,1203,Gd,TA,Detchd,1950.0,Unf,1,352,WD,Normal,110000
457,60,Somerst,8,2009,2009,VinylSd,VinylSd,Stone,Gd,PConc,Gd,No,GLQ,832,Ex,832,1935,TA,NoFireplace,BuiltIn,2009.0,Fin,2,552,New,Partial,263435
458,70,SWISU,7,1936,2007,Wd Sdng,Wd Sdng,None,Gd,PConc,Gd,No,ALQ,560,Ex,575,1135,Gd,NoFireplace,Detchd,1971.0,RFn,2,576,WD,Normal,155000
459,20,Sawyer,5,1965,1965,MetalSd,MetalSd,None,TA,CBlock,TA,No,Rec,864,Gd,864,864,TA,Po,Detchd,1965.0,Unf,1,360,WD,Normal,62383
460,70,Crawfor,6,1934,1995,Stucco,Stucco,None,TA,CBlock,TA,No,LwQ,715,Fa,849,1660,TA,Gd,Detchd,1939.0,Unf,1,240,WD,Normal,188700
461,20,CollgCr,5,1978,1978,HdBoard,HdBoard,BrkFace,TA,CBlock,Gd,No,Rec,1040,TA,1040,1040,TA,NoFireplace,NoGarage,,NoGarage,0,0,WD,Normal,124000
462,120,Blmngtn,7,2004,2004,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,No,Unf,1375,Ex,1414,1414,Gd,TA,Attchd,2004.0,Fin,2,398,WD,Normal,178740
463,20,NAmes,7,1970,1970,Plywood,Plywood,None,TA,CBlock,TA,Gd,GLQ,1277,TA,1277,1277,TA,Po,Attchd,1970.0,Unf,2,526,WD,Normal,167000
464,70,NAmes,5,1942,1995,MetalSd,MetalSd,Stone,TA,CBlock,TA,No,LwQ,728,Ex,888,1644,Gd,Gd,Attchd,1942.0,Unf,1,312,WD,Normal,146500
465,20,NridgHt,8,2006,2006,VinylSd,VinylSd,Stone,Gd,PConc,Gd,No,Unf,1626,Ex,1634,1634,Gd,Gd,Attchd,2006.0,RFn,3,866,WD,Normal,250000
466,60,SawyerW,6,1993,1993,HdBoard,HdBoard,BrkFace,Gd,PConc,Gd,No,GLQ,832,Ex,832,1710,Gd,NoFireplace,Attchd,1993.0,RFn,2,506,WD,Normal,187000
467,120,StoneBr,8,1985,1985,HdBoard,HdBoard,None,Gd,PConc,Gd,Av,GLQ,1488,TA,1502,1502,Gd,NoFireplace,Attchd,1985.0,RFn,2,528,WD,Normal,212000
468,60,NWAmes,7,1977,1977,WdShing,Plywood,None,TA,CBlock,Gd,No,Unf,808,TA,1161,1969,TA,Gd,Attchd,1977.0,RFn,2,534,WD,Normal,190000
469,180,Edwards,6,2005,2005,VinylSd,VinylSd,BrkFace,TA,PConc,Gd,Gd,GLQ,547,Ex,1072,1072,TA,NoFireplace,Basment,2005.0,RFn,2,525,WD,Normal,148000
470,20,NridgHt,8,2006,2007,VinylSd,VinylSd,BrkFace,Gd,PConc,Ex,Gd,GLQ,1976,Ex,1976,1976,Gd,Ex,Attchd,2006.0,RFn,3,908,New,Partial,440000
471,120,StoneBr,8,2000,2000,CemntBd,CmentBd,None,Gd,PConc,Gd,Av,GLQ,1494,Ex,1652,1652,Ex,NoFireplace,Attchd,2000.0,RFn,2,499,WD,Normal,251000
472,20,Sawyer,5,1963,1963,HdBoard,HdBoard,None,TA,CBlock,TA,No,GLQ,970,TA,970,970,TA,NoFireplace,Detchd,1996.0,Unf,2,624,WD,Normal,132500
473,20,CollgCr,6,1997,1998,VinylSd,VinylSd,BrkFace,TA,PConc,Gd,Gd,GLQ,1478,Ex,1493,1493,Gd,TA,Attchd,1997.0,Fin,2,508,WD,Normal,208900
474,60,NridgHt,9,2006,2006,VinylSd,VinylSd,BrkFace,Ex,PConc,Gd,Av,Unf,2153,Ex,2069,2643,Ex,Gd,BuiltIn,2006.0,Fin,3,694,WD,Normal,380000
475,20,CollgCr,8,2007,2008,VinylSd,VinylSd,Stone,Gd,PConc,Ex,Gd,GLQ,1705,Ex,1718,1718,Gd,Gd,Attchd,2007.0,RFn,3,826,WD,Normal,297000
476,30,OldTown,4,1937,2000,Stucco,Stucco,BrkCmn,TA,BrkTil,Fa,No,Rec,907,TA,1131,1131,TA,NoFireplace,Detchd,1995.0,Unf,2,672,WD,Alloca,89471
477,20,NridgHt,9,2004,2005,VinylSd,VinylSd,BrkFace,Gd,PConc,Ex,Gd,GLQ,1833,Ex,1850,1850,Gd,Gd,Attchd,2004.0,Fin,3,772,WD,Normal,326000
478,20,NridgHt,9,2003,2004,VinylSd,VinylSd,BrkFace,Gd,PConc,Ex,Gd,GLQ,1792,Ex,1792,1792,Ex,Gd,Attchd,2003.0,Fin,3,874,WD,Normal,374000
479,70,OldTown,7,1915,2005,Stucco,Stucco,None,Gd,PConc,TA,No,ALQ,910,Ex,916,1826,Ex,Gd,Attchd,1915.0,Unf,1,164,WD,Normal,155000
480,120,Mitchel,6,1998,1998,VinylSd,VinylSd,BrkFace,TA,PConc,Ex,No,GLQ,1216,Ex,1216,1216,TA,NoFireplace,Attchd,1998.0,Unf,2,402,WD,Normal,164000
481,20,Sawyer,5,1962,2001,HdBoard,Plywood,None,TA,CBlock,TA,No,ALQ,999,Gd,999,999,Gd,NoFireplace,Detchd,1963.0,Unf,1,264,WD,Normal,132500
482,20,NAmes,5,1950,2007,MetalSd,MetalSd,None,Gd,CBlock,TA,No,ALQ,1113,Gd,1113,1113,Gd,Gd,Attchd,1950.0,Unf,1,264,WD,Normal,147000
483,20,NAmes,5,1965,1965,MetalSd,MetalSd,BrkFace,TA,CBlock,TA,No,ALQ,1073,TA,1073,1073,TA,NoFireplace,Attchd,1965.0,RFn,2,515,WD,Normal,156000
484,20,NWAmes,5,1971,1971,Plywood,Plywood,None,TA,CBlock,Gd,Av,ALQ,1484,Gd,1484,1484,TA,TA,Attchd,1971.0,Unf,2,487,WD,Normal,175000
485,190,OldTown,5,1900,1970,Wd Sdng,Wd Sdng,None,TA,CBlock,TA,No,BLQ,954,TA,1766,2414,TA,Gd,Attchd,1970.0,Unf,2,520,ConLD,Normal,160000
486,180,MeadowV,4,1970,2002,CemntBd,CmentBd,None,TA,CBlock,Gd,Av,GLQ,630,TA,630,630,Gd,NoFireplace,Attchd,1970.0,Unf,1,286,WD,Normal,86000
487,160,MeadowV,5,1976,1976,CemntBd,CmentBd,None,TA,PConc,Gd,Mn,Unf,264,TA,616,1304,TA,Gd,BuiltIn,1976.0,Fin,1,336,WD,Normal,115000
488,50,NAmes,6,1941,1950,Wd Sdng,Wd Sdng,None,TA,CBlock,TA,No,BLQ,806,TA,958,1578,Fa,TA,Attchd,1941.0,Unf,1,240,WD,Normal,133000
489,60,Gilbert,6,2006,2006,VinylSd,VinylSd,None,Gd,PConc,Gd,No,Unf,728,Gd,728,1456,TA,NoFireplace,Attchd,2006.0,RFn,2,429,New,Partial,172785
490,20,NAmes,5,1960,1960,BrkFace,Wd Sdng,None,TA,CBlock,TA,No,BLQ,1269,TA,1269,1269,TA,Fa,Detchd,1964.0,Unf,1,308,WD,Normal,155000
491,30,OldTown,5,1938,1996,MetalSd,MetalSd,None,TA,BrkTil,Fa,No,Unf,190,Gd,886,886,TA,NoFireplace,Attchd,1938.0,Unf,1,273,WD,Normal,91300
